transaction_id,amount,transaction_type,time_of_day,customer_id,location,flagged_fraud
1,3751.6557872851513,refund,night,106,online,no
2,9507.635921035062,refund,night,833,online,no
3,7322.619478695937,refund,afternoon,122,in-store,no
4,5990.598257128396,debit,evening,318,in-store,yes
5,1568.6262180199408,refund,morning,182,online,no
6,1568.3852581586643,credit,night,615,online,no
7,590.2552855603126,refund,afternoon,316,in-store,no
8,8663.099696291603,credit,afternoon,814,in-store,no
9,6015.138967314656,refund,afternoon,773,online,no
10,7083.6450521824945,refund,morning,625,in-store,no
11,215.63909801506645,credit,morning,406,in-store,no
12,9699.399423098323,refund,evening,986,online,no
13,8326.101981596214,refund,afternoon,949,in-store,no
14,2131.2677156759787,refund,morning,70,online,no
15,1826.4314223989352,debit,afternoon,160,online,no
16,1842.211053435804,credit,night,240,in-store,no
17,3049.380007165782,refund,afternoon,523,in-store,no
18,5252.316752006056,credit,evening,138,in-store,no
19,4325.130736234736,credit,morning,495,in-store,no
20,2919.379110578439,credit,night,679,in-store,no
21,6122.41041827657,refund,morning,247,in-store,no
22,1403.543667913898,refund,night,866,online,no
23,2928.525038866829,credit,afternoon,543,in-store,no
24,3669.9548145039803,debit,afternoon,524,online,no
25,4566.139142328189,credit,evening,243,in-store,no
26,7853.907854316206,debit,evening,620,in-store,no
27,2004.7410837620137,credit,night,336,in-store,no
28,5147.20203975198,credit,evening,422,in-store,no
29,5928.221542931804,credit,evening,835,in-store,no
30,474.03962307277726,refund,evening,194,online,no
31,6079.37307049537,debit,evening,308,online,no
32,1713.5359956360423,debit,afternoon,645,online,no
33,659.8654139229424,credit,evening,907,in-store,no
34,9489.366517160799,refund,afternoon,506,in-store,no
35,9656.664010414848,refund,afternoon,281,in-store,no
36,8085.889507683447,debit,morning,803,online,no
37,3053.0915540419733,refund,afternoon,675,online,no
38,985.7444189237749,debit,afternoon,790,in-store,no
39,6845.487934856447,debit,evening,933,online,no
40,4407.123412458617,debit,afternoon,982,in-store,no
41,1229.1619660993404,refund,night,439,in-store,no
42,4956.817332011589,debit,evening,715,online,no
43,353.5413259410318,debit,evening,608,online,no
44,9094.110816767034,credit,evening,483,online,no
45,2595.212016184169,debit,morning,223,online,no
46,6628.59762069628,debit,evening,749,in-store,no
47,3123.9936501332154,credit,afternoon,117,in-store,yes
48,5205.47953156633,credit,night,968,online,no
49,5471.635690639364,refund,evening,192,online,no
50,1856.6960107000152,debit,evening,788,online,no
51,9696.15043136794,refund,night,618,online,no
52,7753.576905377535,refund,evening,994,in-store,no
53,9395.59442622625,credit,morning,516,in-store,no
54,8949.325230772212,refund,afternoon,530,in-store,no
55,5983.02078832274,debit,night,307,in-store,no
56,9219.523607880938,credit,night,964,in-store,no
57,894.0400954986758,debit,morning,532,in-store,no
58,1967.8687955672606,debit,afternoon,122,in-store,no
59,461.82061621627525,credit,morning,649,online,no
60,3260.050004325011,debit,afternoon,592,in-store,no
61,3892.886123997925,credit,morning,154,online,no
62,2720.7768274212203,debit,evening,870,online,no
63,8289.087716427774,credit,morning,537,online,no
64,3573.965733668957,refund,night,452,in-store,no
65,2816.535751776934,debit,night,169,in-store,no
66,5431.533870750902,credit,night,59,in-store,no
67,1417.8330074978787,debit,morning,301,in-store,no
68,8023.947837732856,debit,night,553,online,no
69,754.7609303609105,debit,night,550,in-store,no
70,9869.000496639168,credit,evening,117,online,no
71,7724.7252452736075,refund,evening,787,in-store,no
72,1995.1696585263824,refund,afternoon,782,in-store,no
73,65.16595006478796,refund,afternoon,127,online,yes
74,8156.459670263794,credit,afternoon,405,online,no
75,7071.504865037695,refund,morning,399,online,yes
76,7292.781608729463,credit,afternoon,515,in-store,no
77,7714.990763392598,debit,morning,805,in-store,no
78,749.7060708235628,debit,morning,885,online,no
79,3591.0726281572834,refund,afternoon,498,in-store,no
80,1167.5319046560458,credit,afternoon,942,online,no
81,8632.403224497179,debit,morning,528,in-store,no
82,6236.748287007304,credit,evening,398,online,no
83,3315.6712682779653,credit,night,265,online,no
84,644.9479193573761,debit,night,751,in-store,no
85,3116.7133939394653,credit,night,263,online,no
86,3258.581387047203,debit,evening,398,in-store,no
87,7298.76572159726,debit,morning,646,in-store,no
88,6379.1991388385795,debit,afternoon,725,online,no
89,8873.255298337503,credit,morning,527,online,no
90,4727.427102367874,debit,morning,436,in-store,no
91,1204.746516923634,credit,afternoon,840,in-store,no
92,7135.31542435772,debit,evening,930,online,no
93,7610.2426356828055,debit,night,360,online,no
94,5617.159203719268,refund,night,129,online,no
95,7711.962127746065,refund,morning,864,in-store,no
96,4943.0180076802635,refund,evening,634,in-store,no
97,5232.1009655261205,credit,night,241,in-store,no
98,4281.134773401911,credit,evening,627,online,no
99,263.93707617351095,debit,afternoon,709,online,no
100,1087.8353556631114,debit,morning,222,in-store,no
101,323.9775650104752,debit,morning,214,in-store,no
102,6367.740008525167,debit,evening,916,online,no
103,3150.4162509525036,credit,night,592,in-store,no
104,5090.621204735381,debit,evening,775,online,no
105,9076.58907452167,debit,afternoon,135,online,yes
106,2500.4293691972607,refund,night,818,online,no
107,4109.725401125941,debit,night,754,in-store,no
108,7557.955874045057,debit,evening,386,in-store,no
109,2295.6936732613085,debit,afternoon,303,online,no
110,779.029299189642,credit,night,782,online,no
111,2904.6170146085424,refund,morning,287,in-store,no
112,1620.6006596675043,debit,afternoon,562,online,no
113,9297.679546902305,debit,night,189,in-store,no
114,8083.122591848525,refund,evening,297,in-store,no
115,6337.703527539131,debit,night,526,in-store,no
116,8715.8912959753,credit,morning,389,online,no
117,8038.684048222153,debit,afternoon,459,online,no
118,1873.8348882714981,credit,night,744,online,no
119,8926.664394914878,credit,morning,261,online,no
120,5398.028996737351,debit,night,704,in-store,no
121,8076.327150088985,refund,night,925,online,no
122,8961.952086235697,credit,afternoon,715,in-store,no
123,3186.8547149689202,refund,evening,773,online,no
124,1109.418726031491,debit,evening,113,online,no
125,2287.0722737939973,credit,morning,886,online,no
126,4276.806808376301,debit,morning,864,online,no
127,8181.967511565706,refund,morning,36,online,no
128,8608.69852673087,debit,afternoon,79,in-store,no
129,79.45178400659513,debit,evening,275,online,no
130,5112.365552749881,credit,morning,960,online,no
131,4179.935921456302,debit,morning,278,online,no
132,2228.8570266025954,debit,night,674,online,no
133,1207.4550196634912,debit,night,312,online,no
134,3382.7755623222433,credit,morning,529,in-store,no
135,9429.667942086066,refund,night,204,online,no
136,3238.797290887345,refund,night,985,in-store,no
137,5192.718311216227,debit,night,952,online,no
138,7033.159399362827,credit,afternoon,17,in-store,no
139,3642.6597277691467,debit,morning,714,online,no
140,9718.103006382396,refund,morning,476,online,no
141,9624.84847647169,credit,night,511,in-store,no
142,2525.305135295388,refund,afternoon,210,online,no
143,4977.51257386493,refund,night,499,in-store,no
144,3015.7743150695287,credit,afternoon,402,online,no
145,2855.5565388309014,credit,morning,429,in-store,no
146,378.5006040717826,debit,night,992,in-store,no
147,6099.54769645917,debit,morning,78,in-store,no
148,5031.763442056326,refund,afternoon,568,online,no
149,524.2727249873936,credit,evening,80,in-store,no
150,2793.6781777237484,credit,afternoon,306,online,no
151,9083.57620080687,debit,evening,58,in-store,no
152,2403.2232877630545,refund,morning,530,in-store,no
153,1457.4997721913187,refund,morning,208,in-store,no
154,4899.633075172855,debit,night,511,online,no
155,9856.6480365649,credit,evening,977,online,no
156,2428.1321623998892,debit,afternoon,135,online,no
157,6724.634118584727,debit,morning,844,in-store,no
158,7618.5799571338885,debit,evening,994,online,no
159,2383.9990644840727,debit,afternoon,522,online,no
160,7284.881322632477,credit,evening,581,in-store,no
161,3684.1534958653397,debit,afternoon,853,in-store,no
162,6326.735247629859,credit,afternoon,899,online,no
163,6338.961810501338,debit,afternoon,83,online,no
164,5362.389093906837,refund,afternoon,621,online,no
165,911.994802843539,credit,evening,44,in-store,no
166,8354.671930936487,refund,evening,483,in-store,no
167,3214.592849067641,debit,night,966,in-store,no
168,1873.3199188945437,debit,evening,910,in-store,no
169,417.34366413209153,debit,evening,644,in-store,no
170,5913.020502450536,credit,night,493,online,no
171,6778.8679748044015,refund,evening,499,online,no
172,175.71241098928294,credit,afternoon,18,online,no
173,5125.809652409817,credit,morning,605,in-store,no
174,2272.6927942274,debit,morning,995,in-store,no
175,6455.276176190404,refund,night,948,online,no
176,1751.9206257598646,debit,evening,294,online,no
177,6912.468003643635,credit,evening,976,online,no
178,3873.486109542369,debit,night,148,in-store,no
179,9367.932587479978,refund,morning,472,in-store,no
180,1383.8342320184727,debit,afternoon,995,in-store,no
181,3417.2528469920826,refund,evening,172,in-store,no
182,1143.6004771934847,refund,night,563,in-store,no
183,9247.689246602842,debit,afternoon,531,online,no
184,8774.620140276,credit,night,120,online,no
185,2586.8368608744045,debit,night,836,in-store,no
186,6603.240619881449,credit,night,737,in-store,no
187,8174.049780010147,credit,morning,66,online,no
188,5556.456107878628,debit,morning,141,in-store,no
189,5301.209277776505,credit,night,446,in-store,no
190,2426.1043860955124,credit,evening,506,online,no
191,940.0966503809332,debit,afternoon,189,in-store,no
192,8973.185421953734,debit,evening,158,in-store,no
193,9005.176391061672,debit,morning,610,online,no
194,6334.683558159947,credit,afternoon,670,in-store,no
195,3396.9076125765196,refund,night,947,in-store,no
